Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Andrew Wiggins\wiggian01,19,MIN,110.0,604.0,650,0.929,82,36.2,16.9,4.6,2.1,1.0,0.6,.437,.310,.760,2.1,.034
2,Nikola Mirotic\mirotni01,23,CHI,14.0,335.0,650,0.515,82,20.2,10.2,4.9,1.2,0.7,0.7,.405,.316,.803,5.7,.165
3,Nerlens Noel\noelne01,20,PHI,3.0,141.0,650,0.217,75,30.8,9.9,8.1,1.7,1.8,1.9,.462,,.609,4.0,.083
4,Elfrid Payton\paytoel01,20,ORL,3.0,79.0,650,0.122,82,30.4,8.9,4.3,6.5,1.7,0.2,.425,.262,.551,2.3,.044
5,Marcus Smart\smartma01,20,BOS,0.0,6.0,650,0.009,67,27.0,7.8,3.3,3.1,1.5,0.3,.367,.335,.646,2.9,.077
6,Jusuf Nurkic\nurkiju01,20,DEN,0.0,3.0,650,0.005,62,17.8,6.9,6.2,0.8,0.8,1.1,.446,.000,.636,1.6,.069
7,Jordan Clarkson\clarkjo01,22,LAL,0.0,2.0,650,0.003,59,25.0,11.9,3.2,3.5,0.9,0.2,.448,.314,.829,2.4,.078
