Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Brandon Roy\roybr01,22,POR,127.0,638.0,640,0.997,57,35.4,16.8,4.4,4.0,1.2,0.2,.456,.377,.838,4.8,.114
2,Andrea Bargnani\bargnan01,21,TOR,1.0,264.0,640,0.413,65,25.1,11.6,3.9,0.8,0.5,0.8,.427,.373,.824,1.9,.057
3,Rudy Gay\gayru01,20,MEM,0.0,93.0,640,0.145,78,27.0,10.8,4.5,1.3,0.9,0.9,.422,.364,.727,0.5,.011
4,Adam Morrison\morriad01,22,CHA,0.0,44.0,640,0.069,78,29.8,11.8,2.9,2.1,0.4,0.1,.376,.337,.710,-1.5,-0.030
5,Randy Foye\foyera01,23,MIN,0.0,37.0,640,0.058,82,22.9,10.1,2.7,2.8,0.6,0.3,.434,.368,.854,2.3,.058
6,Paul Millsap\millspa01,21,UTA,0.0,19.0,640,0.030,82,18.0,6.8,5.2,0.8,0.8,0.9,.525,.333,.673,4.7,.153
7,LaMarcus Aldridge\aldrila01,21,POR,0.0,18.0,640,0.028,63,22.1,9.0,5.0,0.4,0.3,1.2,.503,.000,.722,3.4,.118
8,Jorge Garbajosa\garbajo01,29,TOR,0.0,17.0,640,0.027,67,28.5,8.5,4.9,1.9,1.2,0.2,.420,.342,.731,3.0,.074
9,Tyrus Thomas\thomaty01,20,CHI,0.0,10.0,640,0.016,72,13.4,5.2,3.7,0.6,0.6,1.1,.475,.000,.606,2.2,.110
10,Walter Herrmann\herrmwa01,27,CHA,0.0,5.0,640,0.008,48,19.5,9.2,2.9,0.5,0.4,0.1,.527,.461,.774,2.4,.125
11,Craig Smith\smithcr01,23,MIN,0.0,4.0,640,0.006,82,18.7,7.4,5.1,0.6,0.6,0.2,.531,.000,.624,3.9,.121
12,Rajon Rondo\rondora01,20,BOS,0.0,3.0,640,0.005,78,23.5,6.4,3.7,3.8,1.6,0.1,.418,.207,.647,2.4,.064
