Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Emeka Okafor\okafoem01,22,CHA,77.0,514.0,630,0.816,73,35.6,15.1,10.9,0.9,0.8,1.7,.447,.000,.609,4.0,.074
2,Ben Gordon\gordobe01,21,CHI,43.0,443.0,630,0.703,82,24.4,15.1,2.6,2.0,0.6,0.1,.411,.405,.863,3.5,.084
3,Dwight Howard\howardw01,19,ORL,6.0,161.0,630,0.256,82,32.6,12.0,10.0,0.9,0.9,1.7,.520,.000,.671,7.3,.131
4,Andre Iguodala\iguodan01,21,PHI,0.0,14.0,630,0.022,82,32.8,9.0,5.7,3.0,1.7,0.6,.493,.331,.743,6.6,.118
5T,Luol Deng\denglu01,19,CHI,0.0,1.0,630,0.002,61,27.3,11.7,5.3,2.2,0.8,0.4,.434,.265,.741,3.0,.086
5T,J.R. Smith\smithjr01,19,NOH,0.0,1.0,630,0.002,76,24.5,10.3,2.0,1.9,0.7,0.1,.394,.288,.689,0.2,.006
