Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Kyrie Irving\irvinky01,19,CLE,117.0,592.0,600,0.987,51,30.5,18.5,3.7,5.4,1.1,0.4,.469,.399,.872,4.1,.125
2,Ricky Rubio\rubiori01,21,MIN,0.0,170.0,600,0.283,41,34.2,10.6,4.2,8.2,2.2,0.2,.357,.340,.803,2.0,.070
3,Kenneth Faried\farieke01,22,DEN,1.0,129.0,600,0.215,46,22.5,10.2,7.7,0.8,0.7,1.0,.586,,.665,4.6,.212
4,Kawhi Leonard\leonaka01,20,SAS,1.0,47.0,600,0.078,64,24.0,7.9,5.1,1.1,1.3,0.4,.493,.376,.773,5.5,.171
5,Iman Shumpert\shumpim01,21,NYK,1.0,33.0,600,0.055,59,28.9,9.5,3.2,2.8,1.7,0.1,.401,.306,.798,2.4,.068
6,Klay Thompson\thompkl01,21,GSW,0.0,30.0,600,0.050,66,24.4,12.5,2.4,2.0,0.7,0.3,.443,.414,.868,1.7,.050
7,Isaiah Thomas\thomais02,22,SAC,0.0,28.0,600,0.047,65,25.5,11.5,2.6,4.1,0.8,0.1,.448,.379,.832,4.3,.124
8,Brandon Knight\knighbr03,20,DET,0.0,21.0,600,0.035,66,32.3,12.8,3.2,3.8,0.7,0.2,.415,.380,.759,1.3,.029
9,Chandler Parsons\parsoch01,23,HOU,0.0,14.0,600,0.023,63,28.6,9.5,4.8,2.1,1.2,0.5,.452,.337,.551,3.4,.090
10,MarShon Brooks\brookma01,23,NJN,0.0,4.0,600,0.007,56,29.4,12.6,3.6,2.3,0.9,0.3,.428,.313,.764,0.8,.022
11,Kemba Walker\walkeke02,21,CHA,0.0,3.0,600,0.005,66,27.2,12.1,3.5,4.4,0.9,0.3,.366,.305,.789,0.3,.009
12,Josh Selby\selbyjo01,20,MEM,0.0,1.0,600,0.002,28,8.5,2.3,0.5,1.1,0.3,0.0,.347,.133,.786,-0.5,-0.105
