Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Tracy McGrady\mcgratr01,21,ORL,74.0,74.0,124,0.597,77,40.1,26.8,7.5,4.6,1.5,1.5,.457,.355,.733,12.2,.189
2,Peja Stojakovic\stojape01,23,SAC,14.0,14.0,124,0.113,75,38.7,20.4,5.8,2.2,1.2,0.2,.470,.400,.856,10.1,.168
3,Steve Nash\nashst01,26,DAL,12.0,12.0,124,0.097,70,34.1,15.6,3.2,7.3,1.0,0.1,.487,.406,.895,8.4,.169
4,Shawn Marion\mariosh01,22,PHO,6.0,6.0,124,0.048,79,36.2,17.3,10.7,2.0,1.7,1.4,.480,.256,.810,11.7,.196
5T,Baron Davis\davisba01,21,CHH,4.0,4.0,124,0.032,82,38.9,13.8,5.0,7.3,2.1,0.4,.427,.310,.677,8.9,.134
5T,Dirk Nowitzki\nowitdi01,22,DAL,4.0,4.0,124,0.032,82,38.1,21.8,9.2,2.1,1.0,1.2,.474,.387,.838,14.6,.224
7T,Travis Best\besttr01,28,IND,2.0,2.0,124,0.016,77,31.9,11.9,2.9,6.1,1.4,0.1,.440,.381,.827,7.2,.140
7T,Jason Terry\terryja01,23,ATL,2.0,2.0,124,0.016,82,37.7,19.7,3.3,4.9,1.3,0.1,.436,.395,.846,6.5,.100
9T,Richard Hamilton\hamilri01,22,WAS,1.0,1.0,124,0.008,78,32.3,18.1,3.1,2.9,1.0,0.1,.438,.274,.868,2.4,.046
9T,Donyell Marshall\marshdo01,27,UTA,1.0,1.0,124,0.008,81,28.7,13.6,7.0,1.6,1.0,1.0,.503,.320,.751,8.5,.174
9T,Jeff McInnis\mcinnje01,26,LAC,1.0,1.0,124,0.008,81,35.0,12.9,2.7,5.5,0.9,0.1,.463,.361,.807,6.9,.117
9T,Ben Wallace\wallabe01,26,DET,1.0,1.0,124,0.008,80,34.5,6.4,13.2,1.5,1.3,2.3,.490,.250,.336,7.0,.121
9T,Bonzi Wells\wellsbo01,24,POR,1.0,1.0,124,0.008,75,26.6,12.7,4.9,2.8,1.3,0.3,.533,.340,.663,5.9,.143
9T,Alvin Williams\willial02,26,TOR,1.0,1.0,124,0.008,82,29.2,9.8,2.6,5.0,1.5,0.3,.430,.306,.752,5.4,.109
