Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Gilbert Arenas\arenagi01,21,GSW,41.0,288.0,590,0.488,82,35.0,18.3,4.7,6.3,1.5,0.2,.431,.348,.791,6.5,.109
2,Matt Harpring\harprma01,26,UTA,29.0,234.0,590,0.397,78,32.8,17.6,6.6,1.7,0.9,0.2,.511,.413,.792,8.8,.166
3,Troy Murphy\murphtr01,22,GSW,18.0,144.0,590,0.244,79,31.8,11.7,10.2,1.3,0.8,0.4,.451,.214,.841,6.4,.122
4,Tony Parker\parketo01,20,SAS,14.0,143.0,590,0.242,82,33.8,15.5,2.6,5.3,0.9,0.0,.464,.337,.755,7.7,.134
5,Ricky Davis\davisri01,23,CLE,2.0,43.0,590,0.073,79,39.6,20.6,4.9,5.5,1.6,0.5,.410,.363,.748,3.0,.046
6,Chauncey Billups\billuch01,26,DET,3.0,42.0,590,0.071,74,31.4,16.2,3.7,3.9,0.9,0.2,.421,.392,.878,9.9,.204
7,Jason Williams\willija02,27,MEM,3.0,40.0,590,0.068,76,31.7,12.1,2.8,8.3,1.2,0.1,.388,.354,.840,4.7,.094
8,Richard Jefferson\jefferi01,22,NJN,2.0,23.0,590,0.039,80,36.0,15.5,6.4,2.5,1.0,0.6,.501,.250,.743,9.9,.164
9,Troy Hudson\hudsotr01,26,MIN,1.0,14.0,590,0.024,79,32.9,14.2,2.3,5.7,0.8,0.1,.428,.365,.900,5.1,.094
10,Corey Maggette\maggeco01,23,LAC,0.0,12.0,590,0.020,64,31.3,16.8,5.0,1.9,0.9,0.3,.444,.350,.802,5.0,.119
11,Bobby Jackson\jacksbo01,29,SAC,0.0,11.0,590,0.019,59,28.4,15.2,3.7,3.1,1.2,0.1,.464,.379,.846,5.5,.157
12,Michael Redd\reddmi01,23,MIL,1.0,9.0,590,0.015,82,28.2,15.1,4.5,1.4,1.2,0.2,.469,.438,.805,8.0,.167
13,Metta World Peace\artesro01,23,IND,1.0,7.0,590,0.012,69,33.6,15.5,5.2,2.9,2.3,0.7,.428,.336,.736,7.2,.150
14T,Andrei Kirilenko\kirilan01,21,UTA,1.0,5.0,590,0.008,80,27.7,12.0,5.3,1.7,1.5,2.2,.491,.325,.800,9.2,.199
14T,Dirk Nowitzki\nowitdi01,24,DAL,1.0,5.0,590,0.008,80,39.0,25.1,9.9,3.0,1.4,1.0,.463,.379,.881,16.1,.249
14T,Jermaine O'Neal\onealje01,24,IND,1.0,5.0,590,0.008,77,37.2,20.8,10.3,2.0,0.9,2.3,.484,.333,.731,10.5,.177
14T,Stephon Marbury\marbust01,25,PHO,0.0,5.0,590,0.008,81,40.0,22.3,3.2,8.1,1.3,0.2,.439,.301,.803,9.6,.142
18T,Stephen Jackson\jacksst02,24,SAS,0.0,4.0,590,0.007,80,28.2,11.8,3.6,2.3,1.6,0.4,.435,.320,.760,4.8,.102
18T,Tracy McGrady\mcgratr01,23,ORL,0.0,4.0,590,0.007,75,39.4,32.1,6.5,5.5,1.7,0.8,.457,.386,.793,16.1,.262
18T,Brad Miller\millebr01,26,IND,0.0,4.0,590,0.007,73,31.1,13.1,8.3,2.6,0.9,0.6,.493,.313,.818,9.6,.202
21T,Brent Barry\barrybr01,31,SEA,0.0,3.0,590,0.005,75,33.1,10.3,4.0,5.1,1.5,0.2,.458,.403,.795,7.3,.141
21T,Kevin Garnett\garneke01,26,MIN,0.0,3.0,590,0.005,82,40.5,23.0,13.4,6.0,1.4,1.6,.502,.282,.751,15.6,.225
21T,Zydrunas Ilgauskas\ilgauzy01,27,CLE,0.0,3.0,590,0.005,81,30.0,17.2,7.5,1.6,0.7,1.9,.441,.000,.781,5.0,.099
21T,Eric Snow\snower01,29,PHI,0.0,3.0,590,0.005,82,37.9,12.9,3.7,6.6,1.6,0.1,.452,.219,.858,8.4,.130
25,Earl Boykins\boykiea01,26,GSW,0.0,2.0,590,0.003,68,19.4,8.8,1.3,3.3,0.6,0.1,.429,.377,.865,3.5,.127
26T,Dion Glover\glovedi01,24,ATL,0.0,1.0,590,0.002,76,24.9,9.7,3.7,1.9,0.9,0.2,.427,.354,.784,2.6,.065
26T,Anfernee Hardaway\hardaan01,31,PHO,0.0,1.0,590,0.002,58,30.6,10.6,4.4,4.1,1.1,0.4,.447,.356,.794,2.3,.062
26T,Antawn Jamison\jamisan01,26,GSW,0.0,1.0,590,0.002,82,39.3,22.2,7.0,1.9,0.9,0.5,.470,.311,.789,8.5,.126
26T,Steve Nash\nashst01,28,DAL,0.0,1.0,590,0.002,82,33.1,17.7,2.9,7.3,1.0,0.1,.465,.413,.909,11.6,.206
26T,Rasho Nesterovic\nestera01,26,MIN,0.0,1.0,590,0.002,77,30.4,11.2,6.5,1.5,0.5,1.5,.525,.000,.642,5.2,.107
26T,Stromile Swift\swiftst01,23,MEM,0.0,1.0,590,0.002,67,22.1,9.7,5.7,0.7,0.8,1.6,.481,.000,.722,3.3,.108
