Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Paul George\georgpa01,22,IND,52.0,311.0,600,0.518,79,37.6,17.4,7.6,4.1,1.8,0.6,.419,.362,.807,9.0,.145
2,Greivis Vasquez\vasqugr01,26,NOH,13.0,146.0,600,0.243,78,34.4,13.9,4.3,9.0,0.8,0.1,.433,.342,.805,3.8,.067
3,Larry Sanders\sandela01,24,MIL,10.0,141.0,600,0.235,71,27.3,9.8,9.5,1.2,0.7,2.8,.506,.000,.618,6.0,.149
4,Nikola Vucevic\vucevni01,22,ORL,10.0,109.0,600,0.182,77,33.2,13.1,11.9,1.9,0.8,1.0,.519,.000,.683,5.7,.106
5,Jrue Holiday\holidjr01,22,PHI,10.0,102.0,600,0.170,78,37.5,17.7,4.2,8.0,1.6,0.4,.431,.368,.752,3.3,.055
6,Omer Asik\asikom01,26,HOU,9.0,86.0,600,0.143,82,30.0,10.1,11.7,0.9,0.6,1.1,.541,.000,.562,5.5,.108
7,James Harden\hardeja01,23,HOU,8.0,53.0,600,0.088,78,38.3,25.9,4.9,5.8,1.8,0.5,.438,.368,.851,12.8,.206
8,Stephen Curry\curryst01,24,GSW,1.0,18.0,600,0.030,78,38.2,22.9,4.0,6.9,1.6,0.2,.451,.453,.900,11.2,.180
9,Serge Ibaka\ibakase01,23,OKC,1.0,15.0,600,0.025,80,31.1,13.2,7.7,0.5,0.4,3.0,.573,.351,.749,9.4,.181
10,Chandler Parsons\parsoch01,24,HOU,0.0,14.0,600,0.023,76,36.3,15.5,5.3,3.5,1.0,0.4,.486,.385,.729,7.0,.121
11,Kemba Walker\walkeke02,22,CHA,0.0,9.0,600,0.015,82,34.9,17.7,3.5,5.7,2.0,0.4,.423,.322,.798,4.8,.080
12T,J.R. Smith\smithjr01,27,NYK,1.0,8.0,600,0.013,80,33.5,18.1,5.3,2.7,1.3,0.3,.422,.356,.762,6.7,.120
12T,Klay Thompson\thompkl01,22,GSW,1.0,8.0,600,0.013,82,35.8,16.6,3.7,2.2,1.0,0.5,.422,.401,.841,4.3,.070
14,Jimmy Butler\butleji01,23,CHI,0.0,7.0,600,0.012,82,26.0,8.6,4.0,1.4,1.0,0.4,.467,.381,.803,7.0,.158
15T,Ryan Anderson\anderry01,24,NOH,1.0,5.0,600,0.008,81,30.9,16.2,6.4,1.2,0.5,0.4,.423,.382,.844,6.5,.125
15T,Carmelo Anthony\anthoca01,28,NYK,1.0,5.0,600,0.008,67,37.0,28.7,6.9,2.6,0.8,0.5,.449,.379,.830,9.5,.184
15T,Andray Blatche\blatcan01,26,BRK,1.0,5.0,600,0.008,82,19.0,10.3,5.1,1.0,1.0,0.7,.512,.136,.685,4.9,.153
15T,Mike Conley\conlemi01,25,MEM,1.0,5.0,600,0.008,80,34.5,14.6,2.8,6.1,2.2,0.3,.440,.362,.830,9.9,.172
15T,Kawhi Leonard\leonaka01,21,SAS,0.0,5.0,600,0.008,58,31.2,11.9,6.0,1.6,1.7,0.6,.494,.374,.825,6.2,.166
20,Kevin Durant\duranke01,24,OKC,0.0,4.0,600,0.007,81,38.5,28.1,7.9,4.6,1.4,1.3,.510,.416,.905,18.9,.291
21T,Arron Afflalo\afflaar01,27,ORL,0.0,3.0,600,0.005,64,36.0,16.5,3.7,3.2,0.6,0.2,.439,.300,.857,2.0,.042
21T,Earl Clark\clarkea01,25,LAL,0.0,3.0,600,0.005,59,23.1,7.3,5.5,1.1,0.6,0.7,.440,.337,.697,2.3,.080
21T,Kenneth Faried\farieke01,23,DEN,0.0,3.0,600,0.005,80,28.1,11.5,9.2,1.0,1.0,1.0,.552,,.613,7.8,.167
21T,Greg Monroe\monrogr01,22,DET,0.0,3.0,600,0.005,81,33.2,16.0,9.6,3.5,1.3,0.7,.486,.000,.689,5.9,.105
21T,Joakim Noah\noahjo01,27,CHI,0.0,3.0,600,0.005,66,36.8,11.9,11.1,4.0,1.2,2.1,.481,.000,.751,7.3,.145
26,Tristan Thompson\thomptr01,21,CLE,0.0,2.0,600,0.003,82,31.3,11.7,9.4,1.3,0.7,0.9,.488,.000,.608,5.2,.098
27T,Tobias Harris\harrito02,20,TOT,0.0,1.0,600,0.002,55,23.6,11.0,5.2,1.3,0.6,0.8,.455,.315,.752,2.4,.089
27T,Jarrett Jack\jackja01,29,GSW,0.0,1.0,600,0.002,79,29.7,12.9,3.1,5.6,0.8,0.1,.452,.404,.843,5.6,.115
27T,Ty Lawson\lawsoty01,25,DEN,0.0,1.0,600,0.002,73,34.4,16.7,2.7,6.9,1.5,0.1,.461,.366,.756,7.4,.141
27T,Brook Lopez\lopezbr01,24,BRK,0.0,1.0,600,0.002,74,30.4,19.4,6.9,0.9,0.4,2.1,.521,.000,.758,9.0,.191
27T,Robin Lopez\lopezro01,24,NOH,0.0,1.0,600,0.002,82,26.0,11.3,5.6,0.8,0.4,1.6,.534,,.778,5.6,.126
27T,Lance Stephenson\stephla01,22,IND,0.0,1.0,600,0.002,78,29.2,8.8,3.9,2.9,1.0,0.2,.460,.330,.652,5.5,.115
27T,Jeff Teague\teaguje01,24,ATL,0.0,1.0,600,0.002,80,32.9,14.6,2.3,7.2,1.5,0.4,.451,.359,.881,6.1,.111
