Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Ryan Anderson\anderry01,23,ORL,33.0,260.0,605,0.430,61,32.2,16.1,7.7,0.9,0.8,0.4,.439,.393,.877,8.9,.219
2,Ersan Ilyasova\ilyaser01,24,MIL,21.0,159.0,605,0.263,60,27.6,13.0,8.8,1.2,0.7,0.7,.492,.455,.781,6.4,.185
3,Nikola Pekovic\pekovni01,26,MIN,10.0,104.0,605,0.172,47,26.9,13.9,7.4,0.7,0.6,0.7,.564,,.743,4.5,.170
4,Andrew Bynum\bynuman01,24,LAL,14.0,101.0,605,0.167,60,35.2,18.7,11.8,1.4,0.5,1.9,.558,.200,.692,8.0,.183
5,Greg Monroe\monrogr01,21,DET,10.0,96.0,605,0.159,66,31.5,15.4,9.7,2.3,1.3,0.7,.521,.000,.739,7.0,.161
6,Jeremy Lin\linje01,23,NYK,10.0,91.0,605,0.150,35,26.9,14.6,3.1,6.2,1.6,0.3,.446,.320,.798,2.7,.140
7,Goran Dragic\dragigo01,25,HOU,4.0,54.0,605,0.089,66,26.5,11.7,2.5,5.3,1.3,0.2,.462,.337,.805,5.1,.139
8,Avery Bradley\bradlav01,21,BOS,4.0,36.0,605,0.060,64,21.4,7.6,1.8,1.4,0.7,0.2,.498,.407,.795,2.4,.085
9T,Danny Green\greenda02,24,SAS,3.0,27.0,605,0.045,66,23.1,9.1,3.5,1.3,0.9,0.7,.442,.436,.790,4.5,.142
9T,Jeff Teague\teaguje01,23,ATL,1.0,27.0,605,0.045,66,33.1,12.6,2.4,4.9,1.6,0.6,.476,.342,.757,6.0,.131
11T,Serge Ibaka\ibakase01,22,OKC,2.0,16.0,605,0.026,66,27.2,9.1,7.5,0.4,0.5,3.7,.535,.333,.661,6.2,.167
11T,Ty Lawson\lawsoty01,24,DEN,1.0,16.0,605,0.026,61,34.8,16.4,3.7,6.6,1.3,0.1,.488,.365,.824,6.9,.157
13,Paul George\georgpa01,21,IND,2.0,13.0,605,0.021,66,29.7,12.1,5.6,2.4,1.6,0.6,.440,.385,.802,6.0,.148
14,Steve Novak\novakst01,28,NYK,1.0,12.0,605,0.020,54,18.9,8.8,1.9,0.2,0.3,0.2,.478,.472,.846,3.9,.181
15,DeMarcus Cousins\couside01,21,SAC,0.0,11.0,605,0.018,64,30.5,18.1,11.0,1.6,1.5,1.2,.448,.143,.702,4.2,.104
16,Kevin Love\loveke01,23,MIN,1.0,8.0,605,0.013,55,39.0,26.0,13.3,2.0,0.9,0.5,.448,.372,.824,10.0,.223
17T,James Harden\hardeja01,22,OKC,0.0,7.0,605,0.012,62,31.4,16.8,4.1,3.7,1.0,0.2,.491,.390,.846,9.3,.230
17T,Roy Hibbert\hibbero01,25,IND,0.0,7.0,605,0.012,65,29.8,12.8,8.8,1.7,0.5,2.0,.497,.000,.711,6.2,.154
19T,Marcin Gortat\gortama01,27,PHO,1.0,6.0,605,0.010,66,32.0,15.4,10.0,0.9,0.7,1.5,.555,.000,.649,7.6,.172
19T,Gerald Henderson\hendege02,24,CHA,1.0,6.0,605,0.010,55,33.3,15.1,4.1,2.3,0.9,0.4,.459,.234,.760,1.0,.026
21T,Marc Gasol\gasolma01,27,MEM,1.0,5.0,605,0.008,65,36.5,14.6,8.9,3.1,1.0,1.9,.482,.083,.748,8.2,.166
21T,Kyle Lowry\lowryky01,25,HOU,1.0,5.0,605,0.008,47,32.1,14.3,4.5,6.6,1.6,0.3,.409,.374,.864,4.9,.156
23,Gordon Hayward\haywago01,21,UTA,0.0,4.0,605,0.007,66,30.5,11.8,3.5,3.1,0.8,0.6,.456,.346,.832,4.9,.116
24T,Arron Afflalo\afflaar01,26,DEN,0.0,3.0,605,0.005,62,33.6,15.2,3.2,2.4,0.6,0.2,.471,.398,.798,5.3,.121
24T,Tony Parker\parketo01,29,SAS,0.0,3.0,605,0.005,60,32.1,18.3,2.9,7.7,1.0,0.1,.480,.230,.799,7.1,.177
24T,C.J. Watson\watsocj01,27,CHI,0.0,3.0,605,0.005,49,23.7,9.7,2.1,4.1,0.9,0.2,.368,.393,.808,2.6,.109
24T,Brandan Wright\wrighbr03,24,DAL,0.0,3.0,605,0.005,49,16.1,6.9,3.6,0.3,0.4,1.3,.618,.000,.634,3.5,.215
28T,Jarrett Jack\jackja01,28,NOH,0.0,1.0,605,0.002,45,34.0,15.6,3.9,6.3,0.7,0.2,.456,.348,.872,3.8,.119
28T,Marreese Speights\speigma01,24,MEM,0.0,1.0,605,0.002,60,22.4,8.8,6.2,0.8,0.4,0.5,.453,.000,.771,2.7,.096
