Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Boris Diaw\diawbo01,23,PHO,80.0,489.0,630,0.776,81,35.5,13.3,6.9,6.2,0.7,1.0,.526,.267,.731,8.9,.149
2,David West\westda01,25,NOK,22.0,283.0,630,0.449,74,34.1,17.1,7.4,1.2,0.8,0.9,.512,.273,.843,7.4,.141
3,Nenad Krstic\krstine01,22,NJN,4.0,65.0,630,0.103,80,30.9,13.5,6.4,1.1,0.4,0.8,.507,.250,.698,5.4,.105
4,Gerald Wallace\wallage01,23,CHA,3.0,46.0,630,0.073,55,34.5,15.2,7.5,1.7,2.5,2.1,.538,.280,.614,6.4,.163
5,Chris Bosh\boshch01,21,TOR,3.0,43.0,630,0.068,70,39.3,22.5,9.2,2.6,0.7,1.1,.505,.000,.816,9.8,.170
6T,Andres Nocioni\nocioan01,26,CHI,4.0,29.0,630,0.046,82,27.3,13.0,6.1,1.4,0.5,0.6,.461,.391,.843,6.7,.144
6T,Tony Parker\parketo01,23,SAS,3.0,29.0,630,0.046,80,33.9,18.9,3.3,5.8,1.0,0.1,.548,.306,.707,9.6,.169
8,Mike James\jamesmi01,30,TOR,1.0,21.0,630,0.033,79,37.0,20.3,3.3,5.8,0.9,0.0,.469,.442,.837,7.6,.125
9,Carmelo Anthony\anthoca01,21,DEN,2.0,19.0,630,0.030,80,36.8,26.5,4.9,2.7,1.1,0.5,.481,.243,.808,9.4,.153
10,Jameer Nelson\nelsoja01,23,ORL,1.0,18.0,630,0.029,62,28.8,14.6,2.9,4.9,1.1,0.1,.483,.424,.779,4.9,.132
11T,Yao Ming\mingya01,25,HOU,2.0,14.0,630,0.022,57,34.2,22.3,10.2,1.5,0.5,1.6,.519,.000,.853,8.6,.211
11T,Chris Kaman\kamanch01,23,LAC,0.0,14.0,630,0.022,78,32.8,11.9,9.6,1.0,0.6,1.4,.523,.000,.770,6.1,.114
13,Elton Brand\brandel01,26,LAC,0.0,10.0,630,0.016,79,39.2,24.7,10.0,2.6,1.0,2.5,.527,.333,.775,14.8,.229
14T,DeSagana Diop\diopde01,24,DAL,1.0,8.0,630,0.013,81,18.6,2.3,4.6,0.3,0.5,1.8,.487,.500,.542,4.1,.130
14T,Smush Parker\parkesm01,24,LAL,0.0,8.0,630,0.013,82,33.8,11.5,3.3,3.7,1.7,0.2,.447,.366,.694,5.8,.100
16T,Pau Gasol\gasolpa01,25,MEM,0.0,6.0,630,0.010,80,39.2,20.4,8.9,4.6,0.6,1.9,.503,.250,.689,12.0,.184
16T,Mehmet Okur\okurme01,26,UTA,0.0,6.0,630,0.010,82,35.9,18.0,9.1,2.4,0.5,0.9,.460,.342,.780,9.3,.152
18,Dwight Howard\howardw01,20,ORL,0.0,5.0,630,0.008,82,36.8,15.8,12.5,1.5,0.8,1.4,.531,.000,.595,8.6,.137
19T,Caron Butler\butleca01,25,WAS,0.0,4.0,630,0.006,75,36.1,17.6,6.2,2.5,1.7,0.2,.455,.342,.870,6.3,.112
19T,LeBron James\jamesle01,21,CLE,0.0,4.0,630,0.006,79,42.5,31.4,7.0,6.6,1.6,0.8,.480,.335,.738,16.3,.232
21T,Kevin Martin\martike02,22,SAC,0.0,2.0,630,0.003,72,26.6,10.8,3.6,1.3,0.8,0.1,.480,.369,.847,5.5,.137
21T,Zaza Pachulia\pachuza01,21,ATL,0.0,2.0,630,0.003,78,31.4,11.7,7.9,1.7,1.1,0.5,.451,.000,.735,3.9,.077
23T,Raja Bell\bellra01,29,PHO,0.0,1.0,630,0.002,79,37.5,14.7,3.2,2.6,1.0,0.3,.457,.442,.788,6.8,.110
23T,Kobe Bryant\bryanko01,27,LAL,0.0,1.0,630,0.002,80,41.0,35.4,5.3,4.5,1.8,0.4,.450,.347,.850,15.3,.224
23T,Luol Deng\denglu01,20,CHI,0.0,1.0,630,0.002,78,33.4,14.3,6.6,1.9,0.9,0.6,.463,.269,.750,6.5,.120
23T,Matt Harpring\harprma01,29,UTA,0.0,1.0,630,0.002,71,27.4,12.5,5.2,1.4,0.8,0.2,.475,.359,.725,4.7,.115
23T,Paul Pierce\piercpa01,28,BOS,0.0,1.0,630,0.002,79,39.0,26.8,6.7,4.7,1.4,0.4,.471,.354,.772,11.5,.178
23T,Bobby Simmons\simmobo01,25,MIL,0.0,1.0,630,0.002,75,33.8,13.4,4.4,2.3,1.1,0.3,.453,.420,.825,5.3,.101
23T,Josh Smith\smithjo03,20,ATL,0.0,1.0,630,0.002,80,32.0,11.3,6.6,2.4,0.8,2.6,.425,.309,.719,3.6,.067
23T,Chris Wilcox\wilcoch01,23,TOT,0.0,1.0,630,0.002,77,19.9,8.1,5.3,0.7,0.4,0.4,.571,.000,.732,4.4,.138
23T,Mo Williams\willima01,23,MIL,0.0,1.0,630,0.002,58,26.4,12.1,2.5,4.0,0.9,0.1,.424,.382,.850,2.5,.079
