Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Marcus Camby\cambyma01,32,DEN,70.0,431.0,650,0.663,70,33.8,11.2,11.7,3.2,1.2,3.3,.473,.000,.729,7.6,.155
2,Bruce Bowen\bowenbr01,35,SAS,22.0,206.0,650,0.317,82,30.0,6.2,2.7,1.4,0.8,0.3,.405,.384,.589,4.1,.079
3,Tim Duncan\duncati01,30,SAS,15.0,158.0,650,0.243,80,34.1,20.0,10.6,3.4,0.8,2.4,.546,.111,.637,13.0,.230
4,Shawn Marion\mariosh01,28,PHO,7.0,93.0,650,0.143,80,37.6,17.5,9.8,1.7,2.0,1.5,.524,.317,.810,12.0,.191
5,Shane Battier\battish01,28,HOU,7.0,86.0,650,0.132,82,36.4,10.1,4.1,2.1,1.0,0.7,.446,.421,.779,9.0,.144
6,Ben Wallace\wallabe01,32,CHI,1.0,42.0,650,0.065,77,35.0,6.4,10.7,2.4,1.4,2.0,.453,.200,.408,8.2,.146
7,Gerald Wallace\wallage01,24,CHA,3.0,27.0,650,0.042,72,36.7,18.1,7.2,2.6,2.0,1.0,.502,.325,.691,7.7,.141
8,Metta World Peace\artesro01,27,SAC,1.0,20.0,650,0.031,70,37.7,18.8,6.5,3.4,2.1,0.6,.440,.358,.740,6.7,.122
9,Tyson Chandler\chandty01,24,NOK,0.0,15.0,650,0.023,73,34.6,9.5,12.4,0.9,0.5,1.8,.624,.000,.527,7.9,.150
10,Jermaine O'Neal\onealje01,28,IND,1.0,11.0,650,0.017,69,35.6,19.4,9.6,2.4,0.7,2.6,.436,.000,.767,4.7,.091
11T,Emeka Okafor\okafoem01,24,CHA,0.0,10.0,650,0.015,67,34.8,14.4,11.3,1.2,0.9,2.6,.532,,.593,7.1,.147
11T,Tayshaun Prince\princta01,26,DET,0.0,10.0,650,0.015,82,36.6,14.3,5.2,2.8,0.6,0.7,.460,.386,.768,8.0,.128
13T,Kevin Garnett\garneke01,30,MIN,0.0,7.0,650,0.011,76,39.4,22.4,12.8,4.1,1.2,1.7,.476,.214,.835,10.7,.171
13T,Kirk Hinrich\hinriki01,26,CHI,0.0,7.0,650,0.011,80,35.5,16.6,3.4,6.3,1.3,0.3,.448,.415,.835,10.1,.171
13T,Andrei Kirilenko\kirilan01,25,UTA,0.0,7.0,650,0.011,70,29.3,8.3,4.7,2.9,1.1,2.1,.471,.213,.728,4.4,.104
16T,Dwight Howard\howardw01,21,ORL,1.0,6.0,650,0.009,82,36.9,17.6,12.3,1.9,0.9,1.9,.603,.500,.586,9.7,.154
16T,Quinton Ross\rossqu01,25,LAC,1.0,6.0,650,0.009,81,21.0,5.2,2.3,1.1,0.9,0.4,.467,.200,.782,3.2,.090
18T,Udonis Haslem\hasleud01,26,MIA,1.0,5.0,650,0.008,79,31.4,10.7,8.3,1.2,0.6,0.3,.492,.000,.680,5.1,.099
18T,Josh Howard\howarjo01,26,DAL,0.0,5.0,650,0.008,70,35.1,18.9,6.8,1.8,1.2,0.8,.459,.385,.827,8.8,.173
20,Luol Deng\denglu01,21,CHI,0.0,4.0,650,0.006,82,37.5,18.8,7.1,2.5,1.2,0.6,.517,.143,.777,11.3,.176
21T,Caron Butler\butleca01,26,WAS,0.0,3.0,650,0.005,63,39.3,19.1,7.4,3.7,2.1,0.3,.463,.250,.863,5.3,.103
21T,Josh Smith\smithjo03,21,ATL,0.0,3.0,650,0.005,72,36.8,16.4,8.6,3.3,1.4,2.9,.439,.250,.693,4.4,.079
23,Raja Bell\bellra01,30,PHO,0.0,2.0,650,0.003,78,37.4,14.7,3.2,2.5,0.6,0.3,.432,.413,.776,5.8,.095
24T,Kobe Bryant\bryanko01,28,LAL,0.0,1.0,650,0.002,77,40.8,31.6,5.7,5.4,1.4,0.5,.463,.344,.868,13.0,.199
24T,Devin Harris\harride01,23,DAL,0.0,1.0,650,0.002,80,26.0,10.2,2.5,3.7,1.2,0.3,.492,.280,.824,6.5,.151
24T,Andre Iguodala\iguodan01,23,PHI,0.0,1.0,650,0.002,76,40.3,18.2,5.7,5.7,2.0,0.4,.447,.310,.820,7.7,.120
24T,Yao Ming\mingya01,26,HOU,0.0,1.0,650,0.002,48,33.8,25.0,9.4,2.0,0.4,2.0,.516,.000,.862,7.4,.220
24T,Alonzo Mourning\mournal01,36,MIA,0.0,1.0,650,0.002,77,20.4,8.6,4.5,0.2,0.2,2.3,.560,,.601,3.5,.107
24T,Anthony Parker\parkean01,31,TOR,0.0,1.0,650,0.002,73,33.4,12.4,3.9,2.1,1.0,0.2,.477,.441,.835,6.5,.127
