Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Kawhi Leonard\leonaka01,23,SAS,37.0,333.0,645,0.516,64,31.8,16.5,7.2,2.5,2.3,0.8,.479,.349,.802,8.6,.204
2,Draymond Green\greendr01,24,GSW,45.0,317.0,645,0.491,79,31.5,11.7,8.2,3.7,1.6,1.3,.443,.337,.660,8.5,.163
3,DeAndre Jordan\jordade01,26,LAC,32.0,261.0,645,0.405,82,34.4,11.5,15.0,0.7,1.0,2.2,.710,.250,.397,12.8,.217
4,Anthony Davis\davisan02,21,NOP,11.0,107.0,645,0.166,68,36.1,24.4,10.2,2.2,1.5,2.9,.535,.083,.805,14.0,.274
5,Rudy Gobert\goberru01,22,UTA,2.0,33.0,645,0.051,82,26.3,8.4,9.5,1.3,0.8,2.3,.604,.000,.623,9.3,.206
6,Andrew Bogut\bogutan01,30,GSW,0.0,31.0,645,0.048,67,23.6,6.3,8.1,2.7,0.6,1.7,.563,,.524,5.2,.159
7,Tony Allen\allento01,33,MEM,1.0,29.0,645,0.045,63,26.2,8.6,4.4,1.4,2.0,0.5,.495,.345,.627,4.1,.119
8,Tim Duncan\duncati01,38,SAS,1.0,12.0,645,0.019,77,28.9,13.9,9.1,3.0,0.8,2.0,.512,.286,.740,9.6,.207
9,Michael Kidd-Gilchrist\kiddgmi01,21,CHO,0.0,9.0,645,0.014,55,28.9,10.9,7.6,1.4,0.5,0.7,.465,,.701,3.8,.114
10T,Jimmy Butler\butleji01,25,CHI,0.0,7.0,645,0.011,65,38.7,20.0,5.8,3.3,1.8,0.6,.462,.378,.834,11.2,.214
10T,Marc Gasol\gasolma01,30,MEM,0.0,7.0,645,0.011,81,33.2,17.4,7.8,3.8,0.9,1.6,.494,.176,.795,10.2,.182
12,Joakim Noah\noahjo01,29,CHI,0.0,4.0,645,0.006,67,30.6,7.2,9.6,4.7,0.7,1.1,.445,.000,.603,5.6,.130
13T,Trevor Ariza\arizatr01,29,HOU,0.0,3.0,645,0.005,82,35.7,12.8,5.6,2.5,1.9,0.2,.402,.350,.853,6.6,.108
13T,LeBron James\jamesle01,30,CLE,0.0,3.0,645,0.005,69,36.1,25.3,6.0,7.4,1.6,0.7,.488,.354,.710,10.4,.199
15T,Patrick Beverley\beverpa01,26,HOU,0.0,1.0,645,0.002,56,30.8,10.1,4.2,3.4,1.1,0.4,.383,.356,.750,3.5,.096
15T,DeMarre Carroll\carrode01,28,ATL,0.0,1.0,645,0.002,70,31.3,12.6,5.3,1.7,1.3,0.2,.487,.395,.702,7.0,.154
15T,Nerlens Noel\noelne01,20,PHI,0.0,1.0,645,0.002,75,30.8,9.9,8.1,1.7,1.8,1.9,.462,,.609,4.0,.083
15T,Chris Paul\paulch01,29,LAC,0.0,1.0,645,0.002,82,34.8,19.1,4.6,10.2,1.9,0.2,.485,.398,.900,16.1,.270
15T,Hassan Whiteside\whiteha01,25,MIA,0.0,1.0,645,0.002,48,23.8,11.8,10.0,0.1,0.6,2.6,.628,,.500,5.3,.221
