Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Ben Wallace\wallabe01,30,DET,45.0,339.0,625,0.542,74,36.1,9.7,12.2,1.7,1.4,2.4,.453,.111,.428,8.5,.153
2,Bruce Bowen\bowenbr01,33,SAS,33.0,247.0,625,0.395,82,32.0,8.2,3.5,1.5,0.7,0.5,.420,.403,.634,6.1,.111
3,Marcus Camby\cambyma01,30,DEN,19.0,168.0,625,0.269,66,30.5,10.3,10.0,2.3,0.9,3.0,.465,.000,.723,5.8,.138
4,Tim Duncan\duncati01,28,SAS,6.0,81.0,625,0.130,66,33.4,20.3,11.1,2.7,0.7,2.6,.496,.333,.670,11.2,.245
5,Shawn Marion\mariosh01,26,PHO,5.0,57.0,625,0.091,81,38.8,19.4,11.3,1.9,2.0,1.5,.476,.334,.833,12.5,.191
6,Larry Hughes\hughela01,26,WAS,3.0,53.0,625,0.085,61,38.7,22.0,6.3,4.7,2.9,0.3,.430,.282,.777,7.7,.157
7,Tayshaun Prince\princta01,24,DET,6.0,46.0,625,0.074,82,37.1,14.7,5.3,3.0,0.7,0.9,.487,.341,.807,9.4,.149
8,Shaquille O'Neal\onealsh01,32,MIA,3.0,32.0,625,0.051,73,34.1,22.9,10.4,2.7,0.5,2.3,.601,,.461,11.0,.211
9,Kevin Garnett\garneke01,28,MIN,4.0,30.0,625,0.048,82,38.1,22.2,13.5,5.7,1.5,1.4,.502,.240,.811,16.1,.248
10,Andrei Kirilenko\kirilan01,23,UTA,1.0,25.0,625,0.040,41,32.9,15.6,6.2,3.2,1.6,3.3,.493,.299,.784,5.5,.197
11,Allen Iverson\iversal01,29,PHI,0.0,10.0,625,0.016,75,42.3,30.7,4.0,7.9,2.4,0.1,.424,.308,.835,9.0,.136
12T,Kirk Hinrich\hinriki01,24,CHI,0.0,6.0,625,0.010,77,36.4,15.7,3.9,6.4,1.6,0.3,.397,.355,.792,7.2,.124
12T,Joel Przybilla\przybjo01,25,POR,0.0,6.0,625,0.010,76,24.4,6.4,7.7,1.0,0.3,2.1,.598,,.517,4.7,.121
14T,Trenton Hassell\hassetr01,25,MIN,0.0,4.0,625,0.006,82,25.2,6.6,2.7,1.6,0.4,0.4,.474,.091,.789,2.7,.063
14T,Andre Iguodala\iguodan01,21,PHI,0.0,4.0,625,0.006,82,32.8,9.0,5.7,3.0,1.7,0.6,.493,.331,.743,6.6,.118
16T,Rasheed Wallace\wallara01,30,DET,0.0,3.0,625,0.005,79,34.0,14.5,8.2,1.8,0.8,1.5,.440,.318,.697,7.1,.127
16T,David Wesley\wesleda01,34,TOT,0.0,3.0,625,0.005,80,34.7,11.9,2.9,3.3,1.2,0.1,.398,.375,.857,5.2,.089
18T,Tyson Chandler\chandty01,22,CHI,0.0,2.0,625,0.003,80,27.4,8.0,9.7,0.8,0.9,1.8,.494,.000,.673,8.3,.183
18T,Manu Ginobili\ginobma01,27,SAS,0.0,2.0,625,0.003,74,29.6,16.0,4.4,3.9,1.6,0.4,.471,.376,.803,11.0,.240
18T,Josh Howard\howarjo01,24,DAL,0.0,2.0,625,0.003,76,32.2,12.6,6.4,1.4,1.5,0.6,.475,.296,.733,6.4,.126
21T,Shane Battier\battish01,26,MEM,0.0,1.0,625,0.002,80,31.5,9.9,5.2,1.6,1.1,1.0,.442,.395,.789,7.8,.149
21T,Dwight Howard\howardw01,19,ORL,0.0,1.0,625,0.002,82,32.6,12.0,10.0,0.9,0.9,1.7,.520,.000,.671,7.3,.131
21T,Andres Nocioni\nocioan01,25,CHI,0.0,1.0,625,0.002,81,23.4,8.4,4.8,1.5,0.5,0.4,.401,.258,.766,2.5,.062
21T,Emeka Okafor\okafoem01,22,CHA,0.0,1.0,625,0.002,73,35.6,15.1,10.9,0.9,0.8,1.7,.447,.000,.609,4.0,.074
21T,Dwyane Wade\wadedw01,23,MIA,0.0,1.0,625,0.002,77,38.6,24.1,5.2,6.8,1.6,1.1,.478,.289,.762,11.0,.177
