Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Lou Williams\willilo02,31,LAC,97.0,495.0,505,0.980,79,32.8,22.6,2.5,5.3,1.1,0.2,.435,.359,.880,6.7,.125
2,Eric Gordon\gordoer01,29,HOU,3.0,246.0,505,0.487,69,31.2,18.0,2.5,2.2,0.6,0.4,.428,.359,.809,4.7,.105
3,Fred VanVleet\vanvlfr01,23,TOR,1.0,64.0,505,0.127,76,20.0,8.6,2.4,3.2,0.9,0.3,.426,.414,.832,4.7,.149
4,Will Barton\bartowi01,27,DEN,0.0,62.0,505,0.123,81,33.1,15.7,5.0,4.1,1.0,0.6,.452,.370,.805,6.2,.111
5,Wayne Ellington\ellinwa01,30,MIA,0.0,9.0,505,0.018,77,26.5,11.2,2.8,1.0,0.7,0.1,.407,.392,.859,4.5,.105
6,Kelly Olynyk\olynyke01,26,MIA,0.0,7.0,505,0.014,76,23.4,11.5,5.7,2.7,0.8,0.5,.497,.379,.770,5.5,.148
7T,Jordan Clarkson\clarkjo01,25,TOT,0.0,5.0,505,0.010,81,23.3,13.9,2.7,2.7,0.7,0.1,.451,.352,.800,3.0,.077
7T,Nikola Mirotic\mirotni01,26,TOT,0.0,5.0,505,0.010,55,27.2,15.6,7.4,1.5,0.8,0.7,.447,.377,.818,4.0,.128
9,Kyle Kuzma\kuzmaky01,22,LAL,0.0,4.0,505,0.008,77,31.2,16.1,6.3,1.8,0.6,0.4,.450,.366,.707,3.8,.077
10T,Terry Rozier\roziete01,23,BOS,0.0,3.0,505,0.006,80,25.9,11.3,4.7,2.9,1.0,0.2,.395,.381,.772,5.6,.130
10T,Dwyane Wade\wadedw01,36,TOT,0.0,3.0,505,0.006,67,22.9,11.4,3.8,3.4,0.9,0.7,.438,.288,.714,1.1,.036
12T,J.J. Barea\bareajo01,33,DAL,0.0,1.0,505,0.002,69,23.2,11.6,2.9,6.3,0.5,0.0,.439,.367,.784,3.3,.098
12T,Marco Belinelli\belinma01,31,TOT,0.0,1.0,505,0.002,80,24.3,12.1,1.9,1.9,0.8,0.2,.441,.377,.908,3.7,.092
12T,Rodney Hood\hoodro01,25,TOT,0.0,1.0,505,0.002,60,26.9,14.7,2.8,1.6,0.8,0.2,.429,.381,.860,2.7,.081
12T,Luc Mbah a Moute\mbahalu01,31,HOU,0.0,1.0,505,0.002,61,25.6,7.5,3.0,0.9,1.2,0.4,.481,.364,.684,2.8,.087
12T,Jakob Poeltl\poeltja01,22,TOR,0.0,1.0,505,0.002,82,18.6,6.9,4.8,0.7,0.5,1.2,.659,.500,.594,5.6,.175
12T,Tomas Satoransky\satorto01,26,WAS,0.0,1.0,505,0.002,73,22.5,7.2,3.2,3.9,0.7,0.2,.523,.465,.781,5.0,.145
