Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Aaron McKie\mckieaa01,28,PHI,57.0,57.0,124,0.460,76,31.5,11.6,4.1,5.0,1.4,0.1,.473,.312,.768,5.9,.118
2,Tim Thomas\thomati01,23,MIL,27.0,27.0,124,0.218,76,27.4,12.6,4.1,1.8,1.0,0.6,.430,.412,.771,5.5,.126
3,LaPhonso Ellis\ellisla01,30,MIN,10.0,10.0,124,0.081,82,23.8,9.4,6.0,1.1,0.8,0.9,.464,.318,.790,5.2,.127
4,Bobby Jackson\jacksbo01,27,SAC,9.0,9.0,124,0.073,79,20.9,7.2,3.1,2.0,1.1,0.1,.439,.375,.739,3.1,.091
5,Travis Best\besttr01,28,IND,5.0,5.0,124,0.040,77,31.9,11.9,2.9,6.1,1.4,0.1,.440,.381,.827,7.2,.140
6T,Ruben Patterson\patteru01,25,SEA,4.0,4.0,124,0.032,76,27.1,13.0,5.0,2.1,1.4,0.6,.494,.056,.681,5.5,.128
6T,Rodney Rogers\rogerro01,29,PHO,4.0,4.0,124,0.032,82,26.6,12.2,4.4,2.2,1.2,0.6,.430,.296,.761,4.7,.104
6T,Steve Smith\smithst01,31,POR,4.0,4.0,124,0.032,81,31.4,13.6,3.4,2.6,0.6,0.3,.456,.339,.890,8.2,.155
9,Donyell Marshall\marshdo01,27,UTA,2.0,2.0,124,0.016,81,28.7,13.6,7.0,1.6,1.0,1.0,.503,.320,.751,8.5,.174
10T,Austin Croshere\croshau01,25,IND,1.0,1.0,124,0.008,81,23.1,10.1,4.8,1.1,0.4,0.6,.394,.338,.866,3.2,.082
10T,Tony Delk\delkto01,27,PHO,1.0,1.0,124,0.008,82,27.9,12.3,3.2,2.0,0.9,0.2,.415,.321,.787,4.6,.096
