Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,James Harden\hardeja01,22,OKC,115.0,584.0,595,0.982,62,31.4,16.8,4.1,3.7,1.0,0.2,.491,.390,.846,9.3,.230
2,Lou Williams\willilo02,25,PHI,3.0,231.0,595,0.388,64,26.3,14.9,2.4,3.5,0.8,0.3,.407,.362,.812,6.1,.174
3,Jason Terry\terryja01,34,DAL,0.0,81.0,595,0.136,63,31.7,15.1,2.4,3.6,1.2,0.2,.430,.378,.883,3.8,.092
4,Al Harrington\harrial01,31,DEN,0.0,42.0,595,0.071,64,27.5,14.2,6.1,1.4,0.9,0.2,.446,.333,.676,3.2,.088
5T,Taj Gibson\gibsota01,26,CHI,1.0,28.0,595,0.047,63,20.4,7.7,5.3,0.7,0.4,1.3,.495,,.622,4.5,.167
5T,Manu Ginobili\ginobma01,34,SAS,0.0,28.0,595,0.047,34,23.3,12.9,3.4,4.4,0.7,0.4,.526,.413,.871,4.2,.257
7,O.J. Mayo\mayooj01,24,MEM,0.0,18.0,595,0.030,66,26.8,12.6,3.2,2.6,1.1,0.3,.408,.364,.773,3.5,.094
8,Mo Williams\willima01,29,LAC,0.0,14.0,595,0.024,52,28.3,13.2,1.9,3.1,1.0,0.1,.426,.389,.900,2.8,.093
9,Thaddeus Young\youngth01,23,PHI,0.0,10.0,595,0.017,63,27.9,12.8,5.2,1.2,1.0,0.7,.507,.250,.771,6.3,.171
10,Kyle Korver\korveky01,30,CHI,0.0,4.0,595,0.007,65,22.6,8.1,2.4,1.7,0.6,0.2,.432,.435,.833,5.3,.172
11T,Jamal Crawford\crawfja01,31,POR,0.0,3.0,595,0.005,60,26.9,14.0,2.0,3.2,0.9,0.2,.384,.308,.927,2.3,.069
11T,Carl Landry\landrca01,28,NOH,0.0,3.0,595,0.005,41,24.4,12.5,5.2,0.9,0.3,0.3,.503,.000,.799,2.9,.139
11T,Zach Randolph\randoza01,30,MEM,0.0,3.0,595,0.005,28,26.3,11.6,8.0,1.7,0.8,0.1,.463,.250,.659,2.1,.135
11T,C.J. Watson\watsocj01,27,CHI,0.0,3.0,595,0.005,49,23.7,9.7,2.1,4.1,0.9,0.2,.368,.393,.808,2.6,.109
15T,Mike Dunleavy\dunlemi02,31,MIL,0.0,2.0,595,0.003,55,26.3,12.3,3.7,2.1,0.5,0.1,.474,.399,.811,4.4,.146
15T,Tyler Hansbrough\hansbty01,26,IND,0.0,2.0,595,0.003,66,21.8,9.3,4.4,0.5,0.8,0.1,.405,.000,.813,3.9,.129
15T,Gary Neal\nealga01,27,SAS,0.0,2.0,595,0.003,56,21.5,9.9,2.1,2.1,0.5,0.0,.436,.419,.781,2.5,.101
18T,George Hill\hillge01,25,IND,0.0,1.0,595,0.002,50,25.5,9.6,3.0,2.9,0.8,0.3,.442,.367,.778,4.0,.152
18T,Andre Miller\millean02,35,DEN,0.0,1.0,595,0.002,66,27.4,9.7,3.3,6.7,1.0,0.1,.438,.217,.811,2.9,.078
18T,J.R. Smith\smithjr01,26,NYK,0.0,1.0,595,0.002,35,27.6,12.5,3.9,2.4,1.5,0.2,.407,.347,.709,2.5,.122
