Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Manu Ginobili\ginobma01,30,SAS,123.0,615.0,620,0.992,74,31.1,19.5,4.8,4.5,1.5,0.4,.460,.401,.860,11.1,.232
2,Leandro Barbosa\barbole01,25,PHO,1.0,283.0,620,0.456,82,29.5,15.6,2.8,2.6,0.9,0.2,.462,.389,.822,5.5,.109
3,Jason Terry\terryja01,30,DAL,0.0,44.0,620,0.071,82,31.5,15.5,2.5,3.2,1.1,0.2,.467,.375,.857,8.6,.160
4,Kyle Korver\korveky01,26,TOT,0.0,34.0,620,0.055,75,23.1,9.9,2.3,1.3,0.6,0.4,.443,.375,.915,4.2,.116
5,Ben Gordon\gordobe01,24,CHI,0.0,27.0,620,0.044,72,31.8,18.6,3.1,3.0,0.8,0.1,.434,.410,.908,5.1,.106
6,Josh Childress\childjo01,24,ATL,0.0,23.0,620,0.037,76,29.9,11.8,4.9,1.5,0.9,0.6,.571,.367,.807,7.6,.160
7,J.R. Smith\smithjr01,22,DEN,0.0,22.0,620,0.035,74,19.2,12.3,2.1,1.7,0.8,0.2,.461,.403,.719,3.7,.126
8,James Posey\poseyja01,31,BOS,0.0,19.0,620,0.031,74,24.6,7.4,4.4,1.5,1.0,0.3,.418,.380,.809,6.2,.164
9T,Jason Maxiell\maxieja01,24,DET,0.0,11.0,620,0.018,82,21.6,7.9,5.3,0.6,0.3,1.1,.538,.000,.633,6.3,.171
9T,Travis Outlaw\outlatr01,23,POR,0.0,11.0,620,0.018,82,26.7,13.3,4.6,1.3,0.7,0.8,.433,.396,.741,3.2,.071
11T,Jordan Farmar\farmajo01,21,LAL,0.0,5.0,620,0.008,82,20.6,9.1,2.2,2.7,0.9,0.1,.461,.371,.679,3.9,.111
11T,Linas Kleiza\kleizli01,23,DEN,0.0,5.0,620,0.008,79,23.9,11.1,4.2,1.2,0.6,0.2,.472,.339,.770,4.7,.119
13,Jerry Stackhouse\stackje01,33,DAL,0.0,4.0,620,0.006,58,24.3,10.7,2.3,2.5,0.5,0.2,.405,.326,.892,2.3,.077
14T,Jarrett Jack\jackja01,24,POR,0.0,3.0,620,0.005,82,27.2,9.9,2.9,3.8,0.7,0.0,.431,.342,.867,3.2,.069
14T,David Lee\leeda02,24,NYK,0.0,3.0,620,0.005,81,29.1,10.8,8.9,1.2,0.7,0.4,.552,.000,.819,7.4,.151
14T,Rashad McCants\mccanra01,23,MIN,0.0,3.0,620,0.005,75,26.9,14.9,2.7,2.2,0.9,0.2,.453,.407,.748,1.7,.040
14T,Lou Williams\willilo02,21,PHI,0.0,3.0,620,0.005,80,23.3,11.5,2.1,3.2,1.0,0.2,.424,.359,.783,4.4,.112
18,Andres Nocioni\nocioan01,28,CHI,0.0,1.0,620,0.002,82,24.6,13.2,4.2,1.2,0.3,0.5,.432,.364,.807,3.3,.077
