Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Bobby Jackson\jacksbo01,29,SAC,52.0,362.0,590,0.614,59,28.4,15.2,3.7,3.1,1.2,0.1,.464,.379,.846,5.5,.157
2,Michael Redd\reddmi01,23,MIL,33.0,257.0,590,0.436,82,28.2,15.1,4.5,1.4,1.2,0.2,.469,.438,.805,8.0,.167
3,Andrei Kirilenko\kirilan01,21,UTA,10.0,127.0,590,0.215,80,27.7,12.0,5.3,1.7,1.5,2.2,.491,.325,.800,9.2,.199
4,Nick Van Exel\vanexni01,31,DAL,8.0,115.0,590,0.195,73,27.8,12.5,2.8,4.3,0.6,0.1,.412,.378,.764,4.0,.094
5,Corliss Williamson\willico02,29,DET,5.0,87.0,590,0.147,82,25.1,12.0,4.4,1.3,0.5,0.3,.453,.182,.790,4.9,.115
6,Malik Rose\rosema01,28,SAS,6.0,57.0,590,0.097,79,24.5,10.4,6.4,1.6,0.7,0.5,.459,.400,.791,5.2,.130
7,Earl Boykins\boykiea01,26,GSW,4.0,42.0,590,0.071,68,19.4,8.8,1.3,3.3,0.6,0.1,.429,.377,.865,3.5,.127
8,Al Harrington\harrial01,22,IND,0.0,7.0,590,0.012,82,30.1,12.2,6.2,1.5,0.9,0.4,.434,.283,.770,3.9,.075
9,Jon Barry\barryjo01,33,DET,0.0,4.0,590,0.007,80,18.4,6.9,2.3,2.6,0.8,0.2,.450,.407,.860,5.6,.183
10,Toni Kukoc\kukocto01,34,MIL,0.0,3.0,590,0.005,63,27.0,11.6,4.2,3.7,1.3,0.5,.432,.361,.706,4.0,.112
11T,Keon Clark\clarkke01,27,SAC,0.0,1.0,590,0.002,80,22.3,6.7,5.6,1.0,0.5,1.9,.501,.000,.656,4.7,.127
11T,Lucious Harris\harrilu01,32,NJN,0.0,1.0,590,0.002,77,25.6,10.3,3.0,2.0,0.7,0.1,.413,.346,.804,4.7,.114
11T,Joe Johnson\johnsjo02,21,PHO,0.0,1.0,590,0.002,82,27.5,9.8,3.2,2.6,0.8,0.2,.397,.366,.774,2.8,.060
